"﻿""Key""",Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
PGZB4SJ2,book,2013,,Empirie in der Literaturwissenschaft,,978-3-89785-458-1,,,http://www.ndl-medien.uni-kiel.de/personal/mitarbeiter/assistenten/christoph_rauen/empirie-in-der-literaturwissenschaft/image_view_fullscreen,"Literaturwissenschaftler wie Geisteswissenschaftler überhaupt grenzen sich häufig von den sogenannten »empirischen Wissenschaften« ab. Dem liegt aber ein verengtes Verständnis von Empirie zu Grunde, hinter das der Sammelband zurückzusetzen versucht. Ausgangspunkt der Beiträge ist eine Auffassung von Literaturwissenschaft als Realwissenschaft: Literarische Texte wie auch ihr historisches Bedingungsgefüge, die sogenannten Kontexte, gelten als empirisch beobachtbare Sachverhalte. Und auch wenn die eigentümliche ästhetische Erfahrung im Mittelpunkt steht, geht es nicht um Metaphysik, sondern um soziale und psychologische Realitäten, die anhand von Quellen rekonstruierbar und deren Gesetzmäßigkeiten interdisziplinär erforschbar sind. ›Empirisch‹ bezeichnet dabei nicht einen bestimmten Satz an Methoden, sondern viel grundsätzlicher den Versuch, Aussagen beobachtungssprachlich zu formulieren und auf diese Weise kritisierbar zu machen – eine Herangehensweise, die Literaturwissenschaftler mit Vertretern anderer Disziplinen teilen und für die es in der Geschichte des Fachs viele Beispiele gibt. Diese Traditionen methodologisch zu reflektieren und fortzusetzen ist das Ziel der hier versammelten Beiträge",2013,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,Mentis,Münster,de,,,,,,,,"<div data-schema-version=""9""><p>Literaturwissenschaftler wie Geisteswissenschaftler überhaupt grenzen sich häufig von den sogenannten »empirischen Wissenschaften« ab. Dem liegt aber ein verengtes Verständnis von Empirie zu Grunde, hinter das der Sammelband zurückzusetzen versucht. Ausgangspunkt der Beiträge ist eine Auffassung von Literaturwissenschaft als Realwissenschaft: Literarische Texte wie auch ihr historisches Bedingungsgefüge, die sogenannten Kontexte, gelten als empirisch beobachtbare Sachverhalte. Und auch wenn die eigentümliche ästhetische Erfahrung im Mittelpunkt steht, geht es nicht um Metaphysik, sondern um soziale und psychologische Realitäten, die anhand von Quellen rekonstruierbar und deren Gesetzmäßigkeiten interdisziplinär erforschbar sind. ›Empirisch‹ bezeichnet dabei nicht einen bestimmten Satz an Methoden, sondern viel grundsätzlicher den Versuch, Aussagen beobachtungssprachlich zu formulieren und auf diese Weise kritisierbar zu machen – eine Herangehensweise, die Literaturwissenschaftler mit Vertretern anderer Disziplinen teilen und für die es in der Geschichte des Fachs viele Beispiele gibt. Diese Traditionen methodologisch zu reflektieren und fortzusetzen ist das Ziel der hier versammelten Beiträge</p> </div>",,,,goal_Analysis; goal_Enrichment; meta_Assessing,"Ajouri, Philip; Mellmann, Katja; Rauen, Christoph",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGCVWH5P,book,2000,"Hockey, Susan",Electronic Texts in the Humanities,,978-0-19-871194-0,,,http://ukcatalogue.oup.com/product/9780198711940.do,"The first overview of electronic texts in the humanities     Shows Internet users what tools and techniques can be used to analyse and manipulate electronic texts With word processing and the Internet, computing is much more part and parcel of the everyday life of the humanities scholar, but computers can do much more than assist with writing or Internet searching. This book introduces a range of tools and techniques for manipulating and analysing electronic texts in the humanities. It shows how electronic texts can be used for the literary analysis, linguistic analysis, authorship attribution, and the preparation and publication of electronic scholarly editions. It assesses the ways in which research in corpus and computational linguistics can feed into better electronic tools for humanities research. The tools and techniques discussed in this book will feed into better Internet tools and pave the way for the electronic scholar of the twenty-first century.",2000,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,Oxford University Press,Oxford,en,,,,,,,,,,,,meta_GiveOverview; X-CHECK; AnalyzeStatistically; AnalyzeQualitatively,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2LB22QP,book,2006,"Jansen, Dorothea","Einführung in die Netzwerkanalyse: Grundlagen, Methoden, Forschungsbeispiele",,978-3-531-15054-3,,,http://www.springer.com/springer+vs/soziologie/book/978-3-531-15054-3,"Netzwerkanalyse, soziale Strukturen und soziales Kapital - Geschichte der Netzwerkanalyse - Merkmalsträger, Merkmale und Analyseebenen - Erhebung von Netzwerkdaten - Einfache Analyseverfahren - Zentralität und Prestige in Netzwerken - Macht, Einfluss und Autonomie in Netzwerken - Teilgruppen in Netzwerken - Forschungsfelder der Netzwerkanalyse - Perspektiven der Analyse sozialer Netzwerke - Anhang: Software zur Netzwerkanalyse Dr. Dorothea Jansen ist Professorin für Soziologie der Organisation an der Deutschen Hochschule für Verwaltungswissenschaften in Speyer.",2006,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,Einführung in die Netzwerkanalyse,,,,,"VS, Verl. für Sozialwiss.",Wiesbaden,de,,,,,,,,,,,,*****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2FUIQ7Z,book,2013,"Moretti, Franco",Distant reading,,978-1-78168-084-1,,,http://www.amazon.de/Distant-Reading-Franco-Moretti/dp/1781680841,"How does a literary historian end up thinking in terms of z-scores, principal component analysis, and clustering coefficient? In the ten essays collected in this volume, Franco Moretti reconstructs the intellectual trajectory of his philosophy of ‘distant reading’. From the evolutionary model of ‘Modern European Literature’, through the geo-cultural dominant of ‘Conjectures on World Literature’ and ‘Planet Hollywood’ to the quantitative findings of ‘Style, inc.’ and the abstract patterns of ‘Network Theory, Plot Analysis’, the book follows two decades of critical explorations that have come to define – well beyond the wildest expectations of its author – a growing field of unorthodox literary studies.",2013,2025-11-07 11:50:12,2025-11-07 11:50:12,,,224,,,,,,,,,,Verso,London,en,,,,,,,,,,,,AnalyzeStatistically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QDSHJU5G,book,2010,"Bodard, Gabriel; Mahony, Simon",Digital Research in the Study of Classical Antiquity,,978-0-7546-7773-4,,,http://www.ashgate.com/isbn/9780754677734,"This book explores the challenges and opportunities presented to Classical scholarship by digital practice and resources. Drawing on the expertise of a community of scholars who use innovative methods and technologies, it shows that traditionally rigorous scholarship is as central to digital research as it is to mainstream Classical Studies. The chapters in this edited collection cover many subjects, including text and data markup, data management, network analysis, pedagogical theory and the Social and Semantic Web, illustrating the range of methods that enrich the many facets of the study of the ancient world. This volume exemplifies the collaborative and interdisciplinary nature that is at the heart of Classical Studies.",2010,2025-11-07 11:50:12,2025-11-07 11:50:12,,,210,,,,,,Digital research in the arts and humanities,,,,Ashgate,"Farnham, Surrey, England",en,,,,,,,,,,,,meta_GiveOverview; obj_Artefacts; X-CHECK; obj_AnyObject,,,,"Bodard, Gabriel; Mahony, Simon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB7SG9Z,book,2011,"Haber, Peter",Digital Past. Geschichtswissenschaften im digitalen Zeitalter,,978-3-486-70704-5,,,http://www.amazon.de/Digital-Past-Geschichtswissenschaft-digitalen-Zeitalter/dp/3486707043,"Digitale Ressourcen, multimediale Methoden und das Werkzeug Computer bestimmen scheinbar selbstverständlich die tägliche Arbeit des Historikers, der Historikerin. Peter Haber geht der Frage nach, wie die Digitalisierung der Welt die Wissenschaft von der Vergangenheit verändert. Wie wird Geschichte im 21. Jahrhundert geschrieben? Wie wird unser Wissen neu geordnet? Welche Macht hat Google? Eines ist offensichtlich: die Medienrevolutionen des Web und des Web 2.0 wirken massiv auf das Fach Geschichte und auf die Geschichtswissenschaft ein. Haber macht die Veränderungen der letzten Jahrzehnte greifbar und wagt einen Blick auf neue Perspektiven für die Wissenschaft von der Vergangenheit. ""Peter Habers 'Digital Past' sollte Pflichtlektüre für alle sein, die sich für die digitale Geschichtswissenschaft in der Vergangenheit, Gegenwart und Zukunft interessieren."" Mills Kelly, Assoziierter Direktor des Center for History and New Media an der George Mason University",2011,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,Oldenbourg Wissenschaftsverlag,München,de,,,,,,,,,,,,meta_GiveOverview; obj_DigitalHumanities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I5FA8BSX,book,2014,"Hoover, David L.; Culpeper, Jonathan; O'Halloran, Kieran","Digital Literary Studies: Corpus Approaches to Poetry, Prose, and Drama",,978-0-415-35230-7,,,http://www.amazon.de/Digital-Literary-Studies-Approaches-Linguistics/dp/0415352304,"Digital Literary Studies presents a broad and varied picture of the promise and potential of methods and approaches that are crucially dependent upon the digital nature of the literary texts it studies and the texts and collections of texts with which they are compared. It focuses on style, diction, characterization, and interpretation of single works and across larger groups of texts, using both huge natural language corpora and smaller, more specialized collections of texts created for specific tasks, and applies statistical techniques used in the narrower confines of authorship attribution to broader stylistic questions. It addresses important issues in each of the three major literary genres, and intentionally applies different techniques and concepts to poetry, prose, and drama. It aims to present a provocative and suggestive sample intended to encourage the application of these and other methods to literary studies. Hoover, Culpeper, and O'Halloran push the methods, techniques, and concepts in new directions, apply them to new groups of texts or to new questions, modify their nature or method of application, and combine them in innovative ways",2014,2025-11-07 11:50:12,2025-11-07 11:50:12,,,202,,,,,,,,,,Routledge,London,en,,,,,,,,,,,,meta_GiveOverview; obj_Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z9TGWWWE,book,2012,"Warwick, Claire; Terras, Melissa; Nyhan, Julianne",Digital Humanities in Practice,,978-1-85604-766-1,,,http://www.amazon.de/Digital-Humanities-Practice-Claire-Warwick/dp/1856047660,"This title offers a cutting-edge and comprehensive introduction to this vibrant and increasingly important global field drawing together a broad spectrum of disciplines. Each chapter interweaves the expert commentary of leading academics, analysis of current research and practice and several exciting international case studies, exploring the possibilities and challenges that occur when culture and digital technologies intersect. It covers key topics that include: social media and crowd sourcing; digital images and digitisation; 3D scanning and museums; studying users and readers; electronic text and corpora; archaeology and GIS; open access and online teaching of digital humanities; and, books, texts and digital editing. This is an essential practical guide for academics, researchers, librarians and professionals involved in the digital humanities. It will also be core reading for all humanities students and those taking courses in the digital humanities in particular.",2012,2025-11-07 11:50:12,2025-11-07 11:50:12,,,192,,,,,,,,,,Facet Publishing,London,en,,,,,,,,,,,,meta_GiveOverview; obj_DigitalHumanities; X-CHECK,,,,,,,,,,,,,,,,,,,,1.,,,,,,,,,,,,,,,,,,,,,,,,,,
PXBCE959,book,2005,"Cohen, Daniel J.; Rosenzweig, Roy","Digital History: A Guide to Gathering, Preserving, and Presenting the Past on the Web",,,,,http://chnm.gmu.edu/digitalhistory/,"his book provides a plainspoken and thorough introduction to the web for historians—teachers and students, archivists and museum curators, professors as well as amateur enthusiasts—who wish to produce online historical work, or to build upon and improve the projects they have already started in this important new medium. It begins with an overview of the different genres of history websites, surveying a range of digital history work that has been created since the beginning of the web. The book then takes the reader step-by-step through planning a project, understanding the technologies involved and how to choose the appropriate ones, designing a site that is both easy-to-use and scholarly, digitizing materials in a way that makes them web-friendly while preserving their historical integrity, and how to reach and respond to an intended audience effectively. It also explores the repercussions of copyright law and fair use for scholars in a digital age, and examines more cutting-edge web techniques involving interactivity, such as sites that use the medium to solicit and collect historical artifacts. Finally, the book provides basic guidance on insuring that the digital history the reader creates will not disappear in a few years.",2005,2025-11-07 11:50:12,2025-11-07 11:50:12,2009-11-19 19:02:57,,,,,,,,,,,,University of Pennsylvania Press,"Philadelphia, PA",en,,,,,,,,,,,,meta_GiveOverview; goal_Capture; act_Publishing; act_Archiving; obj_Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3FBGV4ZC,book,2013,,Defining Digital Humanities - A Reader,,,,,http://www.ashgate.com/isbn/9781409469636,"Digital Humanities is becoming an increasingly popular focus of academic endeavour. There are now hundreds of Digital Humanities centres worldwide and the subject is taught at both postgraduate and undergraduate level. Yet the term ‘Digital Humanities’ is much debated. This reader brings together, for the first time, in one core volume the essential readings that have emerged in Digital Humanities. We provide a historical overview of how the term ‘Humanities Computing’ developed into the term ‘Digital Humanities’, and highlight core readings which explore the meaning, scope, and implementation of the field. To contextualize and frame each included reading, the editors and authors provide a commentary on the original piece. There is also an annotated bibliography of other material not included in the text to provide an essential list of reading in the discipline. This text will be required reading for scholars and students who want to discover the history of Digital Humanities through its core writings, and for those who wish to understand the many possibilities that exist when trying to define Digital Humanities.",2013,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,Ashgate,Williston,en,,,,,,,,,,,,meta_GiveOverview; obj_DigitalHumanities,"Terras, Melissa; Nyhan, Julianne; Vanhoutte, Edward",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JHD652I3,book,2012,"Hayles, N. Katherine",Digital Media and contemporary technogenesis,,978-0-226-32142-4,,,http://press.uchicago.edu/ucp/books/book/chicago/H/bo5437533.html,"Hayles examines the evolution of the field from the traditional humanities and how the digital humanities are changing academic scholarship, research, teaching, and publication. She goes on to depict the neurological consequences of working in digital media, where skimming and scanning, or “hyper reading,” and analysis through machine algorithms are forms of reading as valid as close reading once was. Hayles contends that we must recognize all three types of reading and understand the limitations and possibilities of each.",2012,2025-11-07 11:50:12,2025-11-07 11:50:12,,,296,,,,,,,,,,University of Chicago Press,Chicago,en,,,,,,,,,,,,obj_DigitalHumanities; obj_Research; act_Conceptualizing; obj_Humanities; goal_Interpretation; meta_Theorizing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528BDKGI,book,2012,,Digital Humanities,,978-0-262-01847-0,,,http://www.amazon.com/Digital_Humanities-Anne-Burdick/dp/0262018470,"Digital_Humanities is a compact, game-changing report on the state of contemporary knowledge production. Answering the question, ""What is digital humanities?,"" it provides an in-depth examination of an emerging field. This collaboratively authored and visually compelling volume explores methodologies and techniques unfamiliar to traditional modes of humanistic inquiry--including geospatial analysis, data mining, corpus linguistics, visualization, and simulation--to show their relevance for contemporary culture. Included are chapters on the basics, on emerging methods and genres, and on the social life of the digital humanities, along with ""case studies,"" ""provocations,"" and ""advisories."" These persuasively crafted interventions offer a descriptive toolkit for anyone involved in the design, production, oversight, and review of digital projects. The authors argue that the digital humanities offers a revitalization of the liberal arts tradition in the electronically inflected, design-driven, multimedia language of the twenty-first century.Written by five leading practitioner-theorists whose varied backgrounds embody the intellectual and creative diversity of the field, Digital_Humanities is a vision statement for the future, an invitation to engage, and a critical tool for understanding the shape of new scholarship.",2012,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,MIT Press,"Cambridge, MA",en,,,,,,,,,,,,meta_GiveOverview; obj_DigitalHumanities,"Burdick, Anne; Lunenfeld, Peter; Drucker, Johanna; Presner, Todd; Schnapp, Jeffrey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DQ9URTT8,book,2013,"Kohle, Hubertus",Digitale Bildwissenschaft,,,,,http://archiv.ub.uni-heidelberg.de/artdok/2185/,"Das Digitale hat seinen Einzug in die Kulturwissenschaften gehalten. Aber was kann es zur Deutung von Bildern, gar von Kunstwerken beitragen?  Eine Antwort darauf versucht das Buch „Digitale Bildwissenschaft“. Sein Autor behauptet nicht zuallererst, dass man mit dem Computer viel schneller wissenschaftliche Fragen abhandeln kann, sondern dass sich vor allem Methodiken des Analysierens, Publizierens und Bewertens ändern.  Für klassische Geisteswissenschaftler sind solche Wandlungen nicht leicht zu verdauen. Wird eine digitale Bildgeschichte überhaupt noch Geschichtsschreibung sein?",2013,2025-11-07 11:50:12,2025-11-07 11:50:12,2014-05-07 07:35:44,,,,,,,,,,,,Hülsbusch,Glückstadt,de,info:eu-repo/semantics/openAccess,,,,,,,,,,,meta_GiveOverview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ZSMUA2K,book,2010,"Bailey, Charles W.",Digital Curation and Preservation Bibliography 2010,,,,,http://www.digital-scholarship.org/dcpb/dcpb2010.htm,"n a rapidly changing technological environment, the difficult task of ensuring long-term access to digital information is increasingly important. The Digital Curation and Preservation Bibliography 2010 presents over 500 English-language articles, books, and technical reports that are useful in understanding digital curation and preservation. This selective bibliography covers digital curation and preservation copyright issues, digital formats (e.g., data, media, and e-journals), metadata, models and policies, national and international efforts, projects and institutional implementations, research studies, services, strategies, and digital repository concerns. Most sources have been published from 2000 through 2010; however, a limited number of key sources published prior to 2000 are also included. The bibliography includes links to freely available versions of included works, such as e-prints and open access articles.",2010,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,,,en,,,,,,,,,,,,meta_GiveOverview; act_Publishing; goal_Storage; act_Organizing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E7S5DRQC,book,2011,"Witten, Ian; Frank, Eibe; Hall, Mark",Data Mining: Practical Machine Learning Tools and Techniques,,,,,http://www.cs.waikato.ac.nz/ml/weka/book.html,"We have written a companion book for the Weka software, now into its third edition, that describes the machine learning techniques that it implements and how to use them. It is structured into three parts. The first part is an introduction to data mining using basic machine learning techniques, the second part describes more advanced machine learning methods, and the third part is a user guide for Weka.",2011,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,Morgan Kaufmann,San Francisco,en,,,,,,,,,,,,AnalyzeStatistically; t_MachineLearning,,,,,,,,,,,,,,,,,,,,3rd edition,,,,,,,,,,,,,,,,,,,,,,,,,,
U9Z9GSD2,book,1989,,Computer in den Geisteswissenschaften. Konzepte und Berichte,,978-3-593-33881-1,,,,,1989,2025-11-07 11:50:12,2025-11-07 11:50:12,,,336,,,,,,,,,,Frankfurt u.a.: Campus 1989,,de,,,,,,,"Thaller, Manfred (Hg.): Computer in den Geisteswissenschaften. Konzepte und Berichte. Frankfurt u.a.: Campus 1989.",,,,,obj_DigitalHumanities; act_Conceptualizing,"Thaller, Manfred",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LC9H6G3J,book,2010,"Janert, Philipp K",Data analysis with open source tools,,978-0-596-80235-6,,,http://shop.oreilly.com/product/9780596802363.do,"Collecting data is relatively easy, but turning raw information into something useful requires that you know how to extract precisely what you need. With this insightful book, intermediate to experienced programmers interested in data analysis will learn techniques for working with data in a business environment. You'll learn how to look at data to discover what it contains, how to capture those ideas in conceptual models, and then feed your understanding back into the organization through business plans, metrics dashboards, and other applications. Along the way, you'll experiment with concepts through hands-on workshops at the end of each chapter. Above all, you'll learn how to think about the results you want to achieve -- rather than rely on tools to think for you.     Use graphics to describe data with one, two, or dozens of variables     Develop conceptual models using back-of-the-envelope calculations, as well asscaling and probability arguments     Mine data with computationally intensive methods such as simulation and clustering     Make your conclusions understandable through reports, dashboards, and other metrics programs     Understand financial calculations, including the time-value of money     Use dimensionality reduction techniques or predictive analytics to conquer challenging data analysis situations     Become familiar with different open source programming environments for data analysis",2010,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,O'Reilly,"Sebastopol, CA",en,,,,,,,,,,,,act_Visualizing; AnalyzeStatistically; obj_AnyObject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIGPF7BM,book,2010,"Forte, Maurizio",Cyber-Archaeology,,978-1-4073-0721-3,,,,"The ontology of archaeological information, or the cybernetics of archaeology, refers to all the interconnective relationships which the datum produces, the code of transmission, and its transmittability. Because it depends on interrelationships, by its very nature information cannot be neutral with respect to how it is processed and perceived. It follows that the process of knowledge and communication have to be unified and represented by a single vector. 3D information is regarded as the core of the knowledge process, because it creates feedback, then cybernetic difference, among the interactor, the scientist and the ecosystem. It is argued that Virtual Reality (both offline and online) represents a possible ecosystem, which is able to host top-down and bottom-up processes of knowledge and communication. In these terms, the past is generated and coded by “a simulation process”. Thus, from the first phases of data acquisition in the field, the technical methodologies and technologies that we use, influence in a decisive way all the subsequent phases of interpretation and communication. Thus, the questions which we pose in a phase of bottom-up knowledge (for example, in an archaeological excavation) will influence the top-down phases of interpretation, or the mental patterns (for example, a comparative analysis and reconstruction of models). If we peremptorily separate knowledge and communication, we risk losing information along the way, reducing the relationships that are constructed between acquisition/input and transmission/output. At the University of California, Merced, we are experimenting different forms of virtual embodiment and participatory learning. The innovation factor is mainly based on the principle of “enaction”: A principle employed by avatar-driven virtual (embodied) communities for perceiving and constructing information. This neuro-phenomenologic approach is based on the assumption that the cognitive activity is “embodied”, i. e. not separated from the body perception. In these terms it can be correctly identified and communicated only within its specific context. It seems evident that embodiment depends on the level of immersion in the cyberspace: if well implemented embodied communities should be able to learn and transmit more knowledge and in a shorter time than traditional text-based “chatting” communities. We distinguish different types of embodiment (A-B-C) according to levels and modalities of participatory learning and capacities of interaction; each embodiment level will focus on a different kind of interactive learning interface, content target and group of users. Embodiment A: Virtual Participatory Museum. In this case the VR system is planned for interactive platforms (each one with a mono display) and a large HD stereo display serving for group display. The users/players interact in a common 3D space, the rest of the audience can watch by stereo vision. In this way it is possible to obtain a double participation: one active, between the user/players and one passive between a larger audience watching the environment in the large 3D screen. Target users are museum visitors. Embodiment B: Simulation Participatory Environment. (Powerwall, http:// graphics.ucmerced.edu/ research.html). The primary purpose of this environment is to visualize datasets in a large and interactive high resolution display capable of achieving a very high degree of 3D immersion. Within the Powerwall environment it will be possible to integrate full-body 3D motion capture devices in order to implement novel interaction interfaces between immersed users, the environment, and avatars or autonomous characters simulated in the virtual environment. This environment will enable the team to develop new humanlike motion interfaces for collaborative virtual environments, in particular for achieving seamless human-computer interactions accessible to non computer experts for programming motions in the virtual environments. This will allow archeologists to precisely program the correct motions associated with the environment and will enable a novel concept of “Motion Heritage”. Target users are: archaeologists and scientific community.",2010,2025-11-07 11:50:12,2025-11-07 11:50:12,,,153,,,,,,,,,,Archaeopress,"Oxford, England",en,,,,,,,,,,,,meta_GiveOverview; obj_Artefacts; X-CHECK; obj_AnyObject,,,,"Forte, Maurizio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSG8RP4E,book,2011,"Ho, Yufang",Corpus stylistics in principles and practice: a stylistic exploration of John Fowles' The Magus,,978-0-8264-2617-8,,,,"n this book, Yufang Ho compares the text style difference between the two versions of John Fowles' The Magus, exemplifying the methodological principles and analytic practices of the corpus stylistic approach. The Magus was first published in 1966 and was revised and republished by Fowles in 1977.  Fowles' own comment on the second edition was that it was 'rather more than a stylistic revision.' The book explores how the revised version is linguistically different from the original, especially in terms of point of view (re) representation.  The corpus stylistic approach adopted combines qualitative and quantitative comparison to confirm the overall text style difference.  The analysis demonstrates that computer assisted methods can identify significant linguistic features which literary critics have not noticed and provide a more detailed descriptive basis for literary interpretation of (either edition) of the novel.  This analysis of The Magus serves as a case study and exemplar of how corpus techniques may be used generally in the study of linguistics.",2011,2025-11-07 11:50:12,2025-11-07 11:50:12,,,254,,,,,Corpus stylistics in principles and practice,Advances in stylistics,,,,Continuum,London ; New York,en,,,,,,,,,,,,AnalyzeStatistically; AnalyzeQualitatively,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IH63FD55,book,2002,"Burton, Orville Vernon",Computing in the Social Sciences and Humanities,,978-0-252-02685-0,,,http://www.press.uillinois.edu/books/catalog/72exq4pd9780252026850.html,"A lively, hands-on introduction for teachers and scholars in the humanities and social sciences, this book-and-CD package will inspire even the faint-hearted to take the technological bull by the horns and make efficient, informed use of computer and Internet resources. New technology is changing the very nature of research and teaching in the social sciences and humanities. From specialized online forums to Web-based teaching and distance learning, computers are being used to expand educational opportunities, promote cooperation and collaboration, stimulate creative thinking, and find answers to previously insoluble research problems. Combining interactive projects in a CD-ROM format with informative printed essays, this volume showcases innovations that are revolutionizing the craft of scholarship. More than that, it examines realistically how applicable the new technology is to learning. Contributors clarify some of the difficulties of using computers and address problems with the philosophy and culture of computers, including concerns about intellectual property protection and the potential for creating a technological underclass of electronically disadvantaged schools and universities. The accompanying CD features multimedia entries such as an interactive project on owls that educates users about forest ecology; RiverWeb, an interactive archive of information on the history, culture, and science of the Mississippi River; and ""Global Jukebox,"" which recreates the context in which the folklorist Alan Lomax made his pioneering field recordings. The CD includes links to many external sites on the World Wide Web. For those with limited Internet access, a collection of relevant sites is integrated into the CD. Minimum System Requirements 32 MB available RAM, CD-ROM drive (4x) Some articles and programs also require 256-color monitor and sound capability Macintosh®: System 8.5 Windows®: Intel Pentium® processor (or equivalent) running Windows® 95 or Windows NT® 4.0 Orville Vernon Burton is a professor of history and sociology at the University of Illinois at Urbana-Champaign and professor and senior research scientist at the National Center for Supercomputing Applications at the University of Illinois. He is the author of In My Father's House Are Many Mansions: Family and Community in Edgefield, South Carolina.",2002,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,University of Illinois Press,Urbana,en,,,,,,,,,,,,meta_GiveOverview; obj_DigitalHumanities,,,,"Burton, Orville Vernon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YSA4CXT7,book,1988,"Kuckartz, Udo",Computer und verbale Daten: Chancen zur Innovation sozialwissenschaftlicher Forschungstechnik,,978-3-631-40769-1,,,http://www.peterlang.de/download/datasheet/25284/datasheet_40769.pdf,"Qualitative Forschungsmethoden haben im letzten Jahrzehnt zunehmend an Attraktivität gewonnen; vor allem im Interview kommen bei der Datenerhebung verstärkt offene Vorgehensweisen zum Einsatz. Die Techniken zur Auswertung verbaler Daten haben sich jedoch nicht in gleichem Masse entwickelt; nach wie vor existiert kein Methodenkanon, der allgemeine Anerkennung findet. Der große Umfang und die mangelnde Strukturiertheit sind die Charakteristika dieser Datenart. Kann der Computer hier effektiv eingesetzt werden? In dieser Arbeit werden Methoden und Konzepte zur computergestützten Auswertung entwickelt, die auf methodischen und theoretischen Überlegungen im Rahmen der verstehenden Soziologie in der Tradition Max Webers basieren. Die Verbindung von qualitativen und quantitativen Analysemethoden und ein kontrolliertes Verfahren der Typenbildung stehen dabei im Mittelpunkt der Darstellung",1988,2025-11-07 11:50:12,2025-11-07 11:50:12,,,257,,173,,,,Europäische Hochschulschriften,"22, Soziologie",,,Lang,Frankfurt am Main u.a.,de,,,,,,,"Berlin, Techn. Univ., Diss., 1988",,,,,obj_Methods; AnalyzeStatistically,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C9PKH9S6,book,1987,"Burrows, John",Computation into criticism : a study of Jane Austen's novels and an experiment in method,,978-0-19-812856-4,,,http://www.jstor.org/discover/10.2307/27710118?uid=3737864&uid=2&uid=4&sid=21104662946353,,1987,2025-11-07 11:50:12,2025-11-07 11:50:12,,,111-114,,,,,Computation into criticism,,,,,Clarendon Press ;;Oxford University Press,Oxford [Oxfordshire]  ;New York,en,,,,,,,,,,,,t_Stylometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
